Contaminant,Commodity,Contaminant Level Type,Level,Reference,Link to Reference,Notes
" Aldrin & Dieldrin"," Fats and oils (animal feed)"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Figs"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Fish (edible portion)"," Action Level"," 0.3 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Forage, fodder and straw of cereal grains (except those of millet, teosinte, and wild rice)"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria"," The 1995 print edition of the CPG erroneously listed the action level as 0.3 ppm and the error was incorporated in some subsequent versions of the CPG.  We are correcting the error in this tool."
" Aldrin & Dieldrin"," Grapefruit"," Action Level"," 0.02 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Hay"," Action Level"," 0.03 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Horseradish"," Action Level"," 0.1 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Kale"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Kohlrabi"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
" Aldrin & Dieldrin"," Legume vegetables (except guar, jackbeans, lablab beans, and lentils)"," Action Level"," 0.05 ppm"," CPG�575.100"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-575100-pesticide-residues-food-and-feed-enforcement-criteria",
